"game_id","round","player","player_team","list","faction","opponent","TP","CP","VP","victory_condition","scenario","year"
"383","3","Olov Winroth","Team Sweden Nobel","Sorscha2","Khador","David Beauchamp","0","0","21","Caster Kill","Two Fronts","2015"
"383","5","Szymon Ratka","Team Poland White","High Reclaimer","Protectorate of Menoth","Kailam Dale","1","5","58","Scenario","Close Quarters","2013"
"384","5","Aaron Boyhan","Team Wales","Feora2","Protectorate of Menoth","Wojciech Guzowski","0","2","26","Caster Kill","Close Quarters","2013"
"384","3","Marc André Leblanc","Team Canada Goose","Siege","Cygnar","Torbjörn Hansson","1","5","66","Caster Kill","Two Fronts","2015"
"384","3","Torbjörn Hansson","Team Sweden Nobel","Vayl2","Legion of Everblight","Marc André Leblanc","0","3","18","Caster Kill","Two Fronts","2015"
"384","5","Wojciech Guzowski","Team Poland White","Gorten","Mercenaries","Aaron Boyhan","1","0","41","Caster Kill","Close Quarters","2013"
"385","5","Artur Rietz","Team Poland White","Morvahna2","Circle Orboros","Martyn Jenkins","1","0","25","Caster Kill","Close Quarters","2013"
"385","3","Chris Orr","Team Canada Goose","Thagrosh2","Legion of Everblight","Denis Korzun","0","4","20","Scenario","Two Fronts","2015"
"385","3","Denis Korzun","Team Sweden Nobel","Doomshaper","Trollblood","Chris Orr","1","5","53","Scenario","Two Fronts","2015"
"385","5","Martyn Jenkins","Team Wales","Morvahna2","Circle Orboros","Artur Rietz","0","3","17","Caster Kill","Close Quarters","2013"
"386","3","Anjo Brand","Team Netherlands Blue","Issyria","Retribution of Scyrah","Vasco Oliveira","1","5","36","Scenario","Into the Breach","2014"
"386","5","Christoffer Wedding","Team Epic Sweden","Morvahna","Circle Orboros","Enno Mai","0","0","24","Caster Kill","Close Quarters","2013"
"386","5","Enno Mai","Team Germany Red","Makeda2","Skorne","Christoffer Wedding","1","0","39","Caster Kill","Close Quarters","2013"
"386","3","Georg Buscha","Team Netherlands Lions","Deneghra","Cryx","Martin Polák","1","0","9","Caster Kill","Two Fronts","2015"
"386","3","Martin Polák","Team Czech Republic","Haley3","Cygnar","Georg Buscha","0","0","0","Caster Kill","Two Fronts","2015"
"386","3","Vasco Oliveira","Team Portugal Prime","Kromac","Circle Orboros","Anjo Brand","0","1","47","Scenario","Into the Breach","2014"
"387","3","Anjo Brand","Team Netherlands Lions","Issyria","Retribution of Scyrah","Daniel Bogdanoski","1","0","41","Caster Kill","Two Fronts","2015"
"387","3","Daniel Bogdanoski","Team Czech Republic","Butcher3","Khador","Anjo Brand","0","0","9","Caster Kill","Two Fronts","2015"
"387","5","Daniel Knauß","Team Germany Red","Terminus","Cryx","Pär-Ola Nilsson","1","3","27","Caster Kill","Close Quarters","2013"
"387","3","Kévin Maeder","Team Portugal Prime","Zaal","Skorne","Sietse Sommeling ","0","0","8","Scenario","Into the Breach","2014"
"387","5","Pär-Ola Nilsson","Team Epic Sweden","Sorscha2","Khador","Daniel Knauß","0","0","9","Caster Kill","Close Quarters","2013"
"387","3","Sietse Sommeling ","Team Netherlands Blue","Skarre","Cryx","Kévin Maeder","1","5","34","Scenario","Into the Breach","2014"
"388","3","David Hendrikx","Team Netherlands Blue","Harbinger","Protectorate of Menoth","Nuno Sequeira","0","0","32","Caster Kill","Into the Breach","2014"
"388","5","Jeppa Resmark","Team Epic Sweden","Haley2","Cygnar","Leif Barleben","0","1","7","Caster Kill","Close Quarters","2013"
"388","5","Leif Barleben","Team Germany Red","Cassius","Circle Orboros","Jeppa Resmark","1","0","24","Caster Kill","Close Quarters","2013"
"388","3","Nuno Sequeira","Team Portugal Prime","Asphyxious2","Cryx","David Hendrikx","1","0","16","Caster Kill","Into the Breach","2014"
"388","3","Sietse Sommeling","Team Netherlands Lions","Skarre","Cryx","Vojtech Medonos","1","5","35","Scenario","Two Fronts","2015"
"388","3","Vojtech Medonos","Team Czech Republic","Calandra","Trollblood","Sietse Sommeling","0","1","35","Scenario","Two Fronts","2015"
"389","3","Frederik Punt","Team Netherlands Lions","Skarre2","Cryx","Josef Skládanka","1","4","25","Caster Kill","Two Fronts","2015"
"389","3","Freek Punt","Team Netherlands Blue","Asphyxious2","Cryx","Joao Morais","0","1","26","Caster Kill","Into the Breach","2014"
"389","3","Joao Morais","Team Portugal Prime","Hexeris2","Skorne","Freek Punt","1","3","61","Caster Kill","Into the Breach","2014"
"389","5","Jocke Rapp","Team Epic Sweden","Bartolo","Mercenaries","Martin Huf","1","0","43","Caster Kill","Close Quarters","2013"
"389","3","Josef Skládanka","Team Czech Republic","Haley","Cygnar","Frederik Punt","0","0","8","Caster Kill","Two Fronts","2015"
"389","5","Martin Huf","Team Germany Red","Kreoss3","Protectorate of Menoth","Jocke Rapp","0","0","19","Caster Kill","Close Quarters","2013"
"390","3","Aat Niehot","Team Netherlands Lions","Doomshaper2","Trollblood","Luboš Hribik","1","1","48","Caster Kill","Two Fronts","2015"
"390","5","Christian Aas","Team Epic Sweden","Vayl2","Legion of Everblight","Henry  Lehmann","1","1","60","Caster Kill","Close Quarters","2013"
"390","5","Henry  Lehmann","Team Germany Red","Vayl","Legion of Everblight","Christian Aas","0","0","54","Caster Kill","Close Quarters","2013"
"390","3","Luboš Hribik","Team Czech Republic","Grim2","Trollblood","Aat Niehot","0","1","6","Caster Kill","Two Fronts","2015"
"390","3","Niek van Slagmaat","Team Netherlands Blue","Butcher3","Khador","Paulo Morais","1","5","14","Scenario","Into the Breach","2014"
"390","3","Paulo Morais","Team Portugal Prime","Severius","Protectorate of Menoth","Niek van Slagmaat","0","0","12","Scenario","Into the Breach","2014"
"391","3","Adam Fox","Team Northern Ireland","Rask","Minions","Martyn Jenkins","0","0","24","Caster Kill","Two Fronts","2015"
"391","3","Darren","Team Malta Epic","Rask","Minions","Ferenc Venczel","1","0","46","Caster Kill","Into the Breach","2014"
"391","3","Ferenc Venczel","Team Hungary Red","Vlad2","Khador","Darren","0","4","37","Caster Kill","Into the Breach","2014"
"391","3","Martyn Jenkins","Team Wales Fire","Harbinger","Protectorate of Menoth","Adam Fox","1","4","39","Caster Kill","Two Fronts","2015"
"391","5","Moritz Riegler","Team Germany Black","Harbinger","Protectorate of Menoth","Rickard Nilsson","1","5","47","Scenario","Close Quarters","2013"
"391","5","Rickard Nilsson","Team Prime Sweden","Rask","Minions","Moritz Riegler","0","0","29","Scenario","Close Quarters","2013"
"392","5","Gustav Linderup","Team Prime Sweden","Haley2","Cygnar","Robin Maukisch","0","3","35","Caster Kill","Close Quarters","2013"
"392","3","Ian Bonaci","Team Malta Epic","Harbinger","Protectorate of Menoth","Máté Túri","0","0","0","Scenario","Into the Breach","2014"
"392","3","Máté Túri","Team Hungary Red","Zaal","Skorne","Ian Bonaci","1","5","44","Scenario","Into the Breach","2014"
"392","5","Robin Maukisch","Team Germany Black","Vayl2","Legion of Everblight","Gustav Linderup","1","0","42","Caster Kill","Close Quarters","2013"
"392","3","Terry Slade","Team Wales Fire","Deneghra","Cryx","Tomek Dobros","1","0","43","Caster Kill","Two Fronts","2015"
"392","3","Tomek Dobros","Team Northern Ireland","Gorten","Mercenaries","Terry Slade","0","0","4","Caster Kill","Two Fronts","2015"
"393","5","Benjamin Ade Thurow","Team Germany Black","Morvahna2","Circle Orboros","Johan Persson","0","0","50","Caster Kill","Close Quarters","2013"
"393","5","Johan Persson","Team Prime Sweden","Saeryn","Legion of Everblight","Benjamin Ade Thurow","1","0","36","Caster Kill","Close Quarters","2013"
"393","3","Mat McGinn","Team Northern Ireland","Goreshade2","Cryx","Pat Vance","0","0","0","Caster Kill","Two Fronts","2015"
"393","3","Matthew","Team Malta Epic","Skarre","Cryx","Zoltán Gaál","0","2","34","Scenario","Into the Breach","2014"
"393","3","Pat Vance","Team Wales Fire","Lylyth2","Legion of Everblight","Mat McGinn","1","0","24","Caster Kill","Two Fronts","2015"
"393","3","Zoltán Gaál","Team Hungary Red","Deneghra2","Cryx","Matthew","1","5","27","Scenario","Into the Breach","2014"
"394","3","Antoine Bilocca","Team Malta Epic","Doomshaper","Trollblood","János Kendi","1","0","33","Deathclock","Into the Breach","2014"
"394","5","Christian Metz","Team Germany Black","Haley","Cygnar","Denis Korzun","0","0","12","Scenario","Close Quarters","2013"
"394","5","Denis Korzun","Team Prime Sweden","Calandra","Trollblood","Christian Metz","1","5","50","Scenario","Close Quarters","2013"
"394","3","Ian Alderdice","Team Northern Ireland","Krueger2","Circle Orboros","Mike Davies","0","3","10","Caster Kill","Two Fronts","2015"
"394","3","János Kendi","Team Hungary Red","Harbinger","Protectorate of Menoth","Antoine Bilocca","0","3","10","Deathclock","Into the Breach","2014"
"394","3","Mike Davies","Team Wales Fire","Gunnbjorn","Trollblood","Ian Alderdice","1","3","51","Caster Kill","Two Fronts","2015"
"395","3","András Porkoláb","Team Hungary Red","Madrak2","Trollblood","Chris Gatt","0","0","0","Caster Kill","Into the Breach","2014"
"395","5","Andreas Holm","Team Prime Sweden","Deneghra","Cryx","Janos Sälzer","1","0","39","Deathclock","Close Quarters","2013"
"395","3","Chris Gatt","Team Malta Epic","Rahn","Retribution of Scyrah","András Porkoláb","1","0","5","Caster Kill","Into the Breach","2014"
"395","5","Janos Sälzer","Team Germany Black","Asphyxious2","Cryx","Andreas Holm","0","0","21","Deathclock","Close Quarters","2013"
"395","3","Mike O’Brien","Team Northern Ireland","Calandra","Trollblood","Rhys Phillips","1","5","52","Scenario","Two Fronts","2015"
"395","3","Rhys Phillips","Team Wales Fire","Rahn","Retribution of Scyrah","Mike O’Brien","0","0","43","Scenario","Two Fronts","2015"
"396","4","Aaron Wale","Team Australia Platypus","Asphyxious2","Cryx","Konrad Sosnowski","1","0","21","Caster Kill","Incoming","2015"
"396","3","Jason Jenson","Team Ireland Craic","Deneghra","Cryx","Ran Tao","1","3","37","Caster Kill","Into the Breach","2014"
"396","5","Jonas Brand","Team Norway Red","Asphyxious2","Cryx","Rudolf Edlmayer","1","0","18","Caster Kill","Close Quarters","2013"
"396","4","Konrad Sosnowski","Team Poland Leaders","Deneghra","Cryx","Aaron Wale","0","2","11","Caster Kill","Incoming","2015"
"396","3","Ran Tao","Team China","Old Witch","Khador","Jason Jenson","0","0","9","Caster Kill","Into the Breach","2014"
"396","5","Rudolf Edlmayer","Team Hungary","Grim2","Trollblood","Jonas Brand","0","0","18","Caster Kill","Close Quarters","2013"
"397","5","Albert Adolf","Team Hungary","Saeryn","Legion of Everblight","Jakub Grzegorzek","0","0","0","Scenario","Close Quarters","2013"
"397","4","David Potts","Team Australia Platypus","Xerxis","Skorne","Marcin Mycek","0","0","41","Caster Kill","Incoming","2015"
"397","3","Harry Cullen","Team Ireland Craic","Caine2","Cygnar","Liang Yan","0","0","4","Caster Kill","Into the Breach","2014"
"397","5","Jakub Grzegorzek","Team Norway Red","Harbinger","Protectorate of Menoth","Albert Adolf","1","5","24","Scenario","Close Quarters","2013"
"397","3","Liang Yan","Team China","Butcher","Khador","Harry Cullen","1","0","27","Caster Kill","Into the Breach","2014"
"397","4","Marcin Mycek","Team Poland Leaders","Butcher3","Khador","David Potts","1","3","30","Caster Kill","Incoming","2015"
"398","3","Conor Burnell","Team Ireland Craic","Madrak2","Trollblood","Jaden Liu","1","0","39","Deathclock","Into the Breach","2014"
"398","4","Dylan Simmer","Team Australia Platypus","Rahn","Retribution of Scyrah","Karol Sosnowski","0","0","24","Caster Kill","Incoming","2015"
"398","5","Gard Andresen","Team Norway Red","Caine2","Cygnar","Péter Molnár","0","2","9","Deathclock","Close Quarters","2013"
"398","3","Jaden Liu","Team China","Xerxis","Skorne","Conor Burnell","0","1","19","Deathclock","Into the Breach","2014"
"398","4","Karol Sosnowski","Team Poland Leaders","Grissel","Trollblood","Dylan Simmer","1","0","27","Caster Kill","Incoming","2015"
"398","5","Péter Molnár","Team Hungary","Morghoul2","Skorne","Gard Andresen","1","2","6","Deathclock","Close Quarters","2013"
"399","5","Christian Vestøl","Team Norway Red","Saeryn","Legion of Everblight","Loránd Sövényházi","1","1","55","Caster Kill","Close Quarters","2013"
"399","3","Gerry Nolan","Team Ireland Craic","Lylyth2","Legion of Everblight","Guangjie Wu","1","4","45","Caster Kill","Into the Breach","2014"
"399","3","Guangjie Wu","Team China","Bartolo","Mercenaries","Gerry Nolan","0","0","0","Caster Kill","Into the Breach","2014"
"399","4","Jakub Irzyk","Team Poland Leaders","Vayl2","Legion of Everblight","Sheldon Pace","0","0","8","Scenario","Incoming","2015"
"399","5","Loránd Sövényházi","Team Hungary","Doomshaper","Trollblood","Christian Vestøl","0","1","10","Caster Kill","Close Quarters","2013"
"399","4","Sheldon Pace","Team Australia Platypus","Butcher3","Khador","Jakub Irzyk","1","5","56","Scenario","Incoming","2015"
"400","5","Gábor Wolf","Team Hungary","Butcher3","Khador","Terje Boye","0","3","3","Caster Kill","Close Quarters","2013"
"400","4","Jeff Galea","Team Australia Platypus","Thyron","Retribution of Scyrah","Pawel Blados","1","1","55","Caster Kill","Incoming","2015"
"400","4","Pawel Blados","Team Poland Leaders","Bradigus","Circle Orboros","Jeff Galea","0","0","15","Caster Kill","Incoming","2015"
"400","3","Philip Johnston","Team Ireland Craic","Coven","Cryx","Qian Li","1","0","14","Caster Kill","Into the Breach","2014"
"400","3","Qian Li","Team China","Caine2","Cygnar","Philip Johnston","0","0","0","Caster Kill","Into the Breach","2014"
"400","5","Terje Boye","Team Norway Red","Deneghra","Cryx","Gábor Wolf","1","0","29","Caster Kill","Close Quarters","2013"
"401","4","Dominic Leedham","Team United Nations","Siege","Cygnar","Paul Letherby","1","5","28","Scenario","Incoming","2015"
"401","3","Eliot Kimpton","Team England Epic","Krueger2","Circle Orboros","Jan D'Souza","0","4","35","Deathclock","Into the Breach","2014"
"401","3","Jan D'Souza","Team Denmark White","Morvahna2","Circle Orboros","Eliot Kimpton","1","0","41","Deathclock","Into the Breach","2014"
"401","5","Michael Llegems ","Team Belgium Black","Feora2","Protectorate of Menoth","Pietro Fauché","0","0","12","Caster Kill","Close Quarters","2013"
"401","4","Paul Letherby","Team Wales Storm","Makeda2","Skorne","Dominic Leedham","0","2","24","Scenario","Incoming","2015"
"401","5","Pietro Fauché","Team Italy","Ravyn","Retribution of Scyrah","Michael Llegems ","1","2","48","Caster Kill","Close Quarters","2013"
"402","4","Bubba Dalton","Team United Nations","Calandra","Trollblood","Marc Morgan","1","5","50","Scenario","Incoming","2015"
"402","5","Carlo Piccinini ","Team Italy","Asphyxious3","Cryx","Nicolas Smit ","1","1","36","Caster Kill","Close Quarters","2013"
"402","3","Dan Cunningham","Team England Epic","High Reclaimer","Protectorate of Menoth","Laurents Rønved","1","5","56","Scenario","Into the Breach","2014"
"402","3","Laurents Rønved","Team Denmark White","Deneghra2","Cryx","Dan Cunningham","0","4","27","Scenario","Into the Breach","2014"
"402","4","Marc Morgan","Team Wales Storm","Issyria","Retribution of Scyrah","Bubba Dalton","0","0","6","Scenario","Incoming","2015"
"402","5","Nicolas Smit ","Team Belgium Black","Lylyth2","Legion of Everblight","Carlo Piccinini ","0","0","7","Caster Kill","Close Quarters","2013"
"403","4","Byron Liles","Team Wales Storm","Zerkova2","Khador","Mathias Lützkendorf","0","0","15","Scenario","Incoming","2015"
"403","5","Christophe Smit ","Team Belgium Black","Caine2","Cygnar","Federico Ingrosso","1","0","56","Caster Kill","Close Quarters","2013"
"403","5","Federico Ingrosso","Team Italy","Morghoul","Skorne","Christophe Smit ","0","0","19","Caster Kill","Close Quarters","2013"
"403","4","Mathias Lützkendorf","Team United Nations","Deneghra","Cryx","Byron Liles","1","5","36","Scenario","Incoming","2015"
"403","3","Matt Goligher","Team England Epic","Vayl2","Legion of Everblight","Simon Sørensen","1","5","41","Caster Kill","Into the Breach","2014"
"403","3","Simon Sørensen","Team Denmark White","Kreoss3","Protectorate of Menoth","Matt Goligher","0","0","33","Caster Kill","Into the Breach","2014"
"404","4","Adam Jones","Team Wales Storm","Kromac2","Circle Orboros","Russell Harmann","1","5","52","Scenario","Incoming","2015"
"404","5","Alexandre Barbier ","Team Belgium Black","Baldur2","Circle Orboros","Emiliano Traversi","0","0","5","Scenario","Close Quarters","2013"
"404","3","Benjamin Kierkegaard Kristiansen","Team Denmark White","Haley2","Cygnar","Ed Smith","1","5","34","Scenario","Into the Breach","2014"
"404","3","Ed Smith","Team England Epic","Terminus","Cryx","Benjamin Kierkegaard Kristiansen","0","0","21","Scenario","Into the Breach","2014"
"404","5","Emiliano Traversi","Team Italy","Vayl2","Legion of Everblight","Alexandre Barbier ","1","5","49","Scenario","Close Quarters","2013"
"404","4","Russell Harmann","Team United Nations","Thagrosh2","Legion of Everblight","Adam Jones","0","2","44","Scenario","Incoming","2015"
"405","4","Alexis Celnik","Team Wales Storm","Doomshaper","Trollblood","Bret Fogel","0","0","18","Scenario","Incoming","2015"
"405","4","Bret Fogel","Team United Nations","Bradigus","Circle Orboros","Alexis Celnik","1","5","49","Scenario","Incoming","2015"
"405","3","Matt Townsend","Team England Epic","Asphyxious3","Cryx","Mikkel Ernst","0","0","9","Caster Kill","Into the Breach","2014"
"405","5","Michael Marlier ","Team Belgium Black","Terminus","Cryx","Milo Fuggin","1","0","32","Caster Kill","Close Quarters","2013"
"405","3","Mikkel Ernst","Team Denmark White","Vlad2","Khador","Matt Townsend","1","0","39","Caster Kill","Into the Breach","2014"
"405","5","Milo Fuggin","Team Italy","Butcher2","Khador","Michael Marlier ","0","0","17","Caster Kill","Close Quarters","2013"
"406","3","David Smith","Team United Nations","Vayl2","Legion of Everblight","Kamil Nowak","1","0","14","Caster Kill","Into the Breach","2014"
"406","4","Jeremy Lee","Team USA Stripes","Asphyxious3","Cryx","Tyler Webb","1","5","21","Scenario","Incoming","2015"
"406","5","Joao Morais","Team Portugal","Morghoul","Skorne","Tommy Geuns","1","0","40","Caster Kill","Close Quarters","2013"
"406","3","Kamil Nowak","Team Poland Cautious","Caine2","Cygnar","David Smith","0","0","8","Caster Kill","Into the Breach","2014"
"406","5","Tommy Geuns","Team Belgium Red","Morvahna2","Circle Orboros","Joao Morais","0","0","3","Caster Kill","Close Quarters","2013"
"406","4","Tyler Webb","Team Canada Moose","Ravyn","Retribution of Scyrah","Jeremy Lee","0","0","19","Scenario","Incoming","2015"
"407","5","Dominique Majoie","Team Belgium Red","Lylyth2","Legion of Everblight","Joao Nunes","1","3","51","Caster Kill","Close Quarters","2013"
"407","3","Dyland Simmer","Team United Nations","Rahn","Retribution of Scyrah","Karol Sosnowski","0","3","18","Deathclock","Into the Breach","2014"
"407","4","Jay Larsen","Team USA Stripes","Calandra","Trollblood","Jeff Everitt","1","5","48","Scenario","Incoming","2015"
"407","4","Jeff Everitt","Team Canada Moose","Haley2","Cygnar","Jay Larsen","0","3","43","Scenario","Incoming","2015"
"407","5","Joao Nunes","Team Portugal","Sorscha2","Khador","Dominique Majoie","0","1","33","Caster Kill","Close Quarters","2013"
"407","3","Karol Sosnowski","Team Poland Cautious","Doomshaper","Trollblood","Dyland Simmer","1","0","47","Deathclock","Into the Breach","2014"
"408","3","Artur Rietz","Team Poland Cautious","Krueger2","Circle Orboros","Wojciech Kat","1","2","26","Caster Kill","Into the Breach","2014"
"408","4","Brian Marino","Team USA Stripes","Vayl2","Legion of Everblight","Lukasz Kruszewski ","1","0","65","Deathclock","Incoming","2015"
"408","5","Laurens Tanguy","Team Belgium Red","Ravyn","Retribution of Scyrah","Miguel Marques Correia","1","0","31","Caster Kill","Close Quarters","2013"
"408","4","Lukasz Kruszewski ","Team Canada Moose","Vayl2","Legion of Everblight","Brian Marino","0","3","54","Deathclock","Incoming","2015"
"408","5","Miguel Marques Correia","Team Portugal","Haley2","Cygnar","Laurens Tanguy","0","0","0","Caster Kill","Close Quarters","2013"
"408","3","Wojciech Kat","Team United Nations","Rask","Minions","Artur Rietz","0","0","17","Caster Kill","Into the Breach","2014"
"409","3","Daniel Knauss","Team United Nations","Nemo","Cygnar","Konrad Sosnowski","0","0","30","Caster Kill","Into the Breach","2014"
"409","5","Dirk Pintjens","Team Belgium Red","Harbinger","Protectorate of Menoth","Nuno Sequeira","1","5","41","Scenario","Close Quarters","2013"
"409","4","Gord Weppler","Team Canada Moose","Krueger2","Circle Orboros","Mike Puryear","0","3","2","Caster Kill","Incoming","2015"
"409","3","Konrad Sosnowski","Team Poland Cautious","Goreshade3","Cryx","Daniel Knauss","1","4","61","Caster Kill","Into the Breach","2014"
"409","4","Mike Puryear","Team USA Stripes","Harbinger","Protectorate of Menoth","Gord Weppler","1","1","34","Caster Kill","Incoming","2015"
"409","5","Nuno Sequeira","Team Portugal","Coven","Cryx","Dirk Pintjens","0","0","0","Scenario","Close Quarters","2013"
"410","4","Brandon Cating","Team USA Stripes","Severius2","Protectorate of Menoth","Brynn Holdstock","0","0","17","Caster Kill","Incoming","2015"
"410","4","Brynn Holdstock","Team Canada Moose","Skarre","Cryx","Brandon Cating","1","2","38","Caster Kill","Incoming","2015"
"410","3","Eetu Jokinen","Team United Nations","Asphyxious2","Cryx","Krzysztof Pyra","1","0","26","Caster Kill","Into the Breach","2014"
"410","3","Krzysztof Pyra","Team Poland Cautious","Kreoss","Protectorate of Menoth","Eetu Jokinen","0","0","19","Caster Kill","Into the Breach","2014"
"410","5","Paulo Morais","Team Portugal","Feora2","Protectorate of Menoth","Tim Bossuyt","0","0","14","Scenario","Close Quarters","2013"
"410","5","Tim Bossuyt","Team Belgium Red","Skarre1","Cryx","Paulo Morais","1","5","34","Scenario","Close Quarters","2013"
"411","5","Andrzej Kasiewicz","Team Poland Red","Skarre","Cryx","Brian White","1","0","37","Caster Kill","Close Quarters","2013"
"411","5","Brian White","Team United States Blue","Feora2","Protectorate of Menoth","Andrzej Kasiewicz","0","0","11","Caster Kill","Close Quarters","2013"
"411","4","Pauli Lehtoranta","Team Finland Blue","Deneghra","Cryx","Tom Guan","0","2","30","Caster Kill","Incoming","2015"
"411","4","Paulo Morais","Team Portugal Prime","Kreoss3","Protectorate of Menoth","Valérian Tschanz","0","0","28","Scenario","Outflank","2014"
"411","4","Tom Guan","Team USA Stars","Deneghra","Cryx","Pauli Lehtoranta","1","2","30","Caster Kill","Incoming","2015"
"411","4","Valérian Tschanz","Team France 1","Xerxis","Skorne","Paulo Morais","1","5","37","Scenario","Outflank","2014"
"412","4","Alexandre Maiffret","Team France 1","Skarre","Cryx","Joao Morais","0","2","8","Caster Kill","Outflank","2014"
"412","4","Jake Van Meter","Team USA Stars","Absylonia2","Legion of Everblight","Mikko Heinola","0","4","20","Scenario","Incoming","2015"
"412","4","Joao Morais","Team Portugal Prime","Hexeris2","Skorne","Alexandre Maiffret","1","0","36","Caster Kill","Outflank","2014"
"412","5","Marcin Mycek","Team Poland Red","Butcher2","Khador","Will Pagani","0","1","11","Caster Kill","Close Quarters","2013"
"412","4","Mikko Heinola","Team Finland Blue","Madrak2","Trollblood","Jake Van Meter","1","5","60","Scenario","Incoming","2015"
"412","5","Will Pagani","Team United States Blue","Morvahna2","Circle Orboros","Marcin Mycek","1","0","13","Caster Kill","Close Quarters","2013"
"413","4","Baptiste Schmittlin","Team France 1","Harbinger","Protectorate of Menoth","Kévin Maeder","1","4","55","Caster Kill","Outflank","2014"
"413","4","Jaakko Uusitupa","Team Finland Blue","Haley2","Cygnar","Will Pagani","1","5","42","Scenario","Incoming","2015"
"413","5","Jake VanMeter","Team United States Blue","Vayl2","Legion of Everblight","Michal Nakonieczny","1","5","55","Scenario","Close Quarters","2013"
"413","4","Kévin Maeder","Team Portugal Prime","Rasheth","Skorne","Baptiste Schmittlin","0","0","17","Caster Kill","Outflank","2014"
"413","5","Michal Nakonieczny","Team Poland Red","Vayl2","Legion of Everblight","Jake VanMeter","0","0","43","Scenario","Close Quarters","2013"
"413","4","Will Pagani","Team USA Stars","Krueger2","Circle Orboros","Jaakko Uusitupa","0","0","5","Scenario","Incoming","2015"
"414","5","Jason Flanzer","Team United States Blue","Doomshaper","Trollblood","Michal Konieczny","0","0","45","Caster Kill","Close Quarters","2013"
"414","5","Michal Konieczny","Team Poland Red","Morvahna2","Circle Orboros","Jason Flanzer","1","0","0","Caster Kill","Close Quarters","2013"
"414","4","Quentin Recour","Team France 1","Doomshaper","Trollblood","Vasco Oliveira","1","0","44","Caster Kill","Outflank","2014"
"414","4","Ryan Chiriboga","Team USA Stars","Skarre","Cryx","Tatu Purhonen","0","1","1","Caster Kill","Incoming","2015"
"414","4","Tatu Purhonen","Team Finland Blue","Butcher3","Khador","Ryan Chiriboga","1","0","16","Caster Kill","Incoming","2015"
"414","4","Vasco Oliveira","Team Portugal Prime","Kromac","Circle Orboros","Quentin Recour","0","2","20","Caster Kill","Outflank","2014"
"415","4","Brian White","Team USA Stars","High Reclaimer","Protectorate of Menoth","Henry Hyttinen","0","0","18","Unspecified","Incoming","2015"
"415","5","Danny Modesto","Team United States Blue","Ossyan","Retribution of Scyrah","Tomek Tutaj","0","0","11","Caster Kill","Close Quarters","2013"
"415","4","Henry Hyttinen","Team Finland Blue","Harbinger","Protectorate of Menoth","Brian White","1","3","31","Unspecified","Incoming","2015"
"415","4","Marc Simoni","Team France 1","Saeryn","Legion of Everblight","Nuno Sequeira","0","1","20","Caster Kill","Outflank","2014"
"415","4","Nuno Sequeira","Team Portugal Prime","Goreshade3","Cryx","Marc Simoni","1","0","42","Caster Kill","Outflank","2014"
"415","5","Tomek Tutaj","Team Poland Red","Kreoss3","Protectorate of Menoth","Danny Modesto","1","0","15","Caster Kill","Close Quarters","2013"
"416","4","Eric Liu","Team Middle East","Scaverous","Cryx","Javier Pozo","1","0","5","Caster Kill","Incoming","2015"
"416","4","Javier Pozo","Team Spain North","Severius2","Protectorate of Menoth","Eric Liu","0","0","26","Caster Kill","Incoming","2015"
"417","4","Joan Butier","Team Spain North","Makeda2","Skorne","Joseph Hanna","1","2","23","Caster Kill","Incoming","2015"
"417","4","Joseph Hanna","Team Middle East","Xerxis","Skorne","Joan Butier","0","0","33","Caster Kill","Incoming","2015"
"418","4","Alexandra Martinez","Team Spain North","Saeryn","Legion of Everblight","Richard McCammon","0","0","12","Deathclock","Incoming","2015"
"418","4","Richard McCammon","Team Middle East","Goreshade","Cryx","Alexandra Martinez","1","2","10","Deathclock","Incoming","2015"
"419","4","Josh Blakemore","Team Middle East","Durst","Protectorate of Menoth","Marc Heredia","1","3","36","Deathclock","Incoming","2015"
"419","4","Marc Heredia","Team Spain North","Kaya2","Circle Orboros","Josh Blakemore","0","4","39","Deathclock","Incoming","2015"
"420","4","Aubrey Linen","Team Middle East","Grim2","Trollblood","Sergi del Molino","1","1","36","Deathclock","Incoming","2015"
"420","4","Sergi del Molino","Team Spain North","Thexus","Mercenaries","Aubrey Linen","0","3","18","Deathclock","Incoming","2015"
"421","4","Janne Mikkola","Team Finland White","Krueger2","Circle Orboros","Sascha Maisel","0","2","8","Scenario","Incoming","2015"
"421","4","Sascha Maisel","Team Germany Dichter & Denker","Goreshade3","Cryx","Janne Mikkola","1","5","19","Scenario","Incoming","2015"
"422","4","Moritz Riegler","Team Germany Dichter & Denker","Deneghra","Cryx","Niko Ranta","1","0","43","Caster Kill","Incoming","2015"
"422","4","Niko Ranta","Team Finland White","Deneghra2","Cryx","Moritz Riegler","0","0","15","Caster Kill","Incoming","2015"
"423","4","Christian Metz","Team Germany Dichter & Denker","Caine2","Cygnar","Teemu Aro","0","4","37","Scenario","Incoming","2015"
"423","4","Teemu Aro","Team Finland White","Butcher3","Khador","Christian Metz","1","5","28","Scenario","Incoming","2015"
"424","4","Robin Maukisch","Team Germany Dichter & Denker","Bradigus","Circle Orboros","Samu Järvinen","1","0","54","Caster Kill","Incoming","2015"
"424","4","Samu Järvinen","Team Finland White","Bradigus","Circle Orboros","Robin Maukisch","0","1","31","Caster Kill","Incoming","2015"
