"player","team","faction","is_theme","theme_name","leader","list"
"Davide ""Ashtron"" Insinna","Italy Leonardo","Convergence of Cyriss","1"," Destruction Initiative","Axis 1","Convergence Army - 75 / 75 points\n[Theme] Destruction Initiative\n\n(Axis 1) Axis, the Harmonic Enforcer [+30]\n - Corollary [6]\n - Galvanizer [5]\n - Galvanizer [5]\n - Galvanizer [5]\n - Galvanizer [5]\n - Galvanizer [5]\n - Inverter [15]\n - Inverter [15]\nAccretion Servitors [2]\nAttunement Servitors [0(4)]\nElimination Servitors [0(3)]\nElimination Servitors [0(3)]\nReflex Servitors [0(4)]\nOptifex Directive [4]\nTransfinite Emergence Projector [19]\nTransfinite Emergence Projector [19]\n"
"Francesco ""Demian"" Recchiuti","Italy Leonardo","Cryx","0",,"Deneghra 2","Cryx Army - 75 / 75 points\n\n(Deneghra 2) Wraith Witch Deneghra [+28]\n - Deathjack [23]\n - Deathripper [6]\n - Deathripper [6]\nDarragh Wrathe [9]\nWarwitch Siren [4]\nBane Riders (min) [12]\nCephalyx Overlords [8]\nCroe's Cutthroats (min) [10]\nSatyxis Gunslingers [7]\nSatyxis Gunslingers [7]\nSoulhunters (min) [11]\n"
"Francesco ""Demian"" Recchiuti","Italy Leonardo","Cryx","1"," The Ghost Fleet","Deneghra 1","Cryx Army - 75 / 75 points\n[Theme] The Ghost Fleet\n\n(Deneghra 1) Warwitch Deneghra [+28]\n - Deathripper [6]\n - Deathripper [6]\n - Stalker [8]\n - Stalker [8]\nCaptain Rengrave [0(5)]\nHellslinger Phantom [0(7)]\nPistol Wraith [0(5)]\nBlackbane's Ghost Raiders (max) [17]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (2) [4]\nWraith Engine [15]\n"
"Will Wijnveld","New Zealand","Cryx","1"," Dark Host","Coven 1","Cryx Army - 75 / 75 points\n[Theme] Dark Host\n\n(Coven 1) The Witch Coven of Garlghast [+26]\n - Deathripper [6]\n - Deathripper [6]\n - Scavenger [7]\n - Scavenger [7]\nBane Lord Tartarus [0(6)]\nBane Riders (max) [20]\nBane Riders (max) [20]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nWraith Engine [15]\n"
"Will Wijnveld","New Zealand","Cryx","1"," The Ghost Fleet","Deneghra 1","Cryx Army - 75 / 75 points\n[Theme] The Ghost Fleet\n\n(Deneghra 1) Warwitch Deneghra [+28]\n - Deathripper [6]\n - Deathripper [6]\n - Stalker [8]\n - Stalker [8]\nCaptain Rengrave [0(5)]\nHellslinger Phantom [0(7)]\nPistol Wraith [0(5)]\nBlackbane's Ghost Raiders (min) [11]\nRevenant Cannon Crew [4]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nWraith Engine [15]\n"
"David Wilson","New Zealand","Cygnar","1"," Storm Division","Haley 2","Cygnar Army - 75 / 75 points\n[Theme] Storm Division\n\n(Haley 2) Major Victoria Haley [+25]\n - Firefly [8]\n - Stormclad [18]\n - Thorn [13]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [4]\n - Firefly [8]\nMajor Katherine Laddermore [8]\nField Mechaniks (min) [3]\nStorm Lances (max) [20]\nStorm Strider [18]\n"
"David Wilson","New Zealand","Cygnar","1"," Heavy Metal","Kraye 1","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n!!! Your army contains a pre-release entry.\n\n(Kraye 1) Captain Jeremiah Kraye [+28]\n - Charger [9]\n - Charger [9]\n - Defender [16]\n - Hammersmith [12]\n - Hammersmith [12]\n - Minuteman [9]\n - Minuteman [9]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Firefly [8]\nLieutenant Allison Jakes [0(4)]\n - Defender [16]\nField Mechaniks (min) [3]\n"
"Nikola Jaksic","New Zealand","Protectorate of Menoth","1"," The Creator's Might","Amon 1","Protectorate Army - 75 / 75 points\n[Theme] The Creator's Might\n\n(Amon 1) High Allegiant Amon Ad-Raza [+29]\n - Crusader [10]\n - Crusader [10]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Devout [9]\n - Repenter [8]\n - Repenter [8]\n - Templar [15]\n - Hierophant [0(3)]\nThe Covenant of Menoth [0(4)]\nVassal Mechanik [1]\nVassal of Menoth [0(3)]\nVassal of Menoth [3]\nChoir of Menoth (min) [4]\nChoir of Menoth (min) [4]\nChoir of Menoth (min) [4]\n"
"Nikola Jaksic","New Zealand","Protectorate of Menoth","1"," The Creator's Might","Severius 1","Protectorate Army - 75 / 75 points\n[Theme] The Creator's Might\n\n(Severius 1) Grand Scrutator Severius [+28]\n - Blessing of Vengeance [13]\n - Templar [15]\n - Hierophant [0(3)]\nAvatar of Menoth [20]\nThe Covenant of Menoth [0(4)]\nVassal Mechanik [1]\nVassal Mechanik [1]\nVassal Mechanik [1]\nVassal of Menoth [0(3)]\nVassal of Menoth [3]\nChoir of Menoth (min) [4]\nVisgoth Juviah Rhoven & Honor Guard [9]\nVessel of Judgment [18]\nVessel of Judgment [18]\n"
"Mitch Cowan","New Zealand","Cygnar","1"," Storm Division","Brisbane 1","Cygnar Army - 75 / 75 points\n[Theme] Storm Division\n\n(Brisbane 1) Major Markus ""Siege"" Brisbane [+28]\n - Charger [9]\n - Charger [9]\n - Firefly [8]\n - Firefly [8]\n - Squire [0(5)]\nJourneyman Warcaster [0(4)]\n - Sentinel [8]\nSavio Montero Acosta [0(6)]\nStormblade Captain [5]\nStorm Lances (max) [20]\nStorm Strider [18]\nStorm Strider [18]\n"
"Mitch Cowan","New Zealand","Cygnar","1"," Heavy Metal","Caine 3","Cygnar Army - 74 / 75 points\n[Theme] Heavy Metal\n\n!!! Your army contains pre-release entries.\n\n(Caine 3) Caine's Hellslingers [+20]\n - Ace [12]\n - Charger [9]\n - Charger [9]\n - Charger [9]\n - Charger [9]\n - Hunter [10]\n - Hunter [10]\n - Minuteman [9]\n - Minuteman [9]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Sentinel [8]\n"
"David Dawn","New Zealand","Mercenaries","0",,"Gorten 1","Mercenary Army - 75 / 75 points\n\n(Gorten 1) Gorten Grundback [+31]\n - Grundback Blaster [6]\n - Grundback Blaster [6]\n - Grundback Gunner [6]\n - Grundback Gunner [6]\n - Grundback Gunner [6]\n - Grundback Gunner [6]\n - Reinholdt, Gobber Speculator [4]\nAnastasia di Bray [3]\nGorman di Wulfe, Rogue Alchemist [4]\nMajor Harrison Gibbs [4]\nRagman [4]\nRorsh [15]\nWrong Eye [17]\nKayazy Eliminators [5]\nKayazy Eliminators [5]\nThorn Gun Mages [9]\n"
"David Dawn","New Zealand","Mercenaries","0",,"MacBain 1","Mercenary Army - 75 / 75 points\n\n(MacBain 1) Drake MacBain [+30]\n - Galleon [39]\n - Sylys Wyshnalyrr, The Seeker [4]\nDahlia Hallyr [17]\nDirty Meg [3]\nGastone Crosse [4]\n - Buccaneer [6]\nGobber Tinker [2]\nRagman [4]\nCroe's Cutthroats (max) [16]\nKayazy Eliminators [5]\nKayazy Eliminators [5]\n"
"Adam Fox (Captain)","Northern Ireland","Skorne","1"," Imperial Warhost","Zaadesh 2","Skorne Army - 75 / 75 points\n[Theme] Imperial Warhost\n\n(Zaadesh 2) Lord Tyrant Zaadesh [+28]\n - Agonizer [0(6)]\n - Agonizer [0(6)]\n - Basilisk Krea [0(7)]\n - Rhinodon [12]\n - Titan Gladiator [15]\n - Titan Sentry [15]\n - Titan Sentry [15]\nPaingiver Beast Handlers (min) [5]\nPaingiver Beast Handlers (max) [7]\nSiege Animantarax [17]\nSiege Animantarax [17]\n"
"Adam Fox (Captain)","Northern Ireland","Skorne","1"," Winds of Death","Rasheth 1","Skorne Army - 75 / 75 points\n[Theme] Winds of Death\n\n(Rasheth 1) Dominar Rasheth [+28]\n - Cyclops Shaman [8]\n - Cyclops Shaman [8]\n - Titan Cannoneer [17]\nExtoller Soulward [3]\nVenator Dakar [4]\nVenator Dakar [4]\nPaingiver Beast Handlers (min) [5]\nPaingiver Beast Handlers (min) [5]\nVenator Catapult Crew [0(5)]\nVenator Catapult Crew [0(5)]\nVenator Reivers (max) [15]\n - Venator Reiver Officer & Standard [4]\nVenator Slingers (max) [13]\nSiege Animantarax [17]\n"
"Ian Alderdice","Northern Ireland","Circle Orboros","1"," The Devourer's Host","Baldur 1","Circle Army - 75 / 75 points\n[Theme] The Devourer's Host\n\n(Baldur 1) Baldur the Stonecleaver [+31]\n - Feral Warpwolf [18]\n - Ghetorix [21]\n - Shadowhorn Satyr [12]\nGallows Grove [2]\nTharn Ravager Shaman [0(5)]\nTharn Ravager White Mane [0(5)]\nDeath Wolves [9]\nShifting Stones [3]\nTharn Bloodtrackers (max) [16]\n - Nuala the Huntress [4]\nTharn Ravagers (max) [16]\n - Tharn Ravager Chieftain [5]\n"
"Ian Alderdice","Northern Ireland","Circle Orboros","1"," The Bones of Orboros","Baldur 2","Circle Army - 75 / 75 points\n[Theme] The Bones of Orboros\n\n(Baldur 2) Baldur the Stonesoul [+30]\n - Megalith [20]\n - Woldwatcher [9]\n - Woldwrath [37]\n - Woldwyrd [9]\n - Woldwyrd [9]\nBlackclad Stoneshaper [0(3)]\nBlackclad Stoneshaper [3]\nBlackclad Wayfarer [0(4)]\nBlackclad Wayfarer [0(4)]\nGallows Grove [2]\nSentry Stone & Mannikins [5]\nSentry Stone & Mannikins [5]\nShifting Stones [3]\nShifting Stones [3]\n"
"Andy Beattie","Northern Ireland","Circle Orboros","1"," The Bones of Orboros","Tanith 1","Circle Army - 75 / 75 points\n[Theme] The Bones of Orboros\n\n(Tanith 1) Tanith the Feral Song [+31]\n - Loki [19]\n - Wold Guardian [17]\n - Wold Guardian [17]\n - Woldwyrd [9]\n - Woldwyrd [9]\nBlackclad Stoneshaper [0(3)]\nBlackclad Stoneshaper [0(3)]\nBlackclad Wayfarer [0(4)]\nSentry Stone & Mannikins [5]\nSentry Stone & Mannikins [5]\nShifting Stones [3]\nShifting Stones [3]\nCelestial Fulcrum [19]\n"
"Andy Beattie","Northern Ireland","Circle Orboros","1"," The Devourer's Host","Una 2","Circle Army - 75 / 75 points\n[Theme] The Devourer's Host\n\n(Una 2) Una the Skyhunter [+29]\n - Gorax Rager [7]\n - Scarsfell Griffon [8]\n - Scarsfell Griffon [8]\n - Scarsfell Griffon [8]\n - Scarsfell Griffon [8]\n - Scarsfell Griffon [8]\n - Scarsfell Griffon [8]\nBloodweaver Night Witch [4]\nTharn Ravager Shaman [0(5)]\nDeath Wolves [9]\nTharn Bloodtrackers (max) [16]\n - Nuala the Huntress [4]\nTharn Ravagers (max) [16]\n - Tharn Ravager Chieftain [0(5)]\n"
"Gerard O'Brien","Northern Ireland","Legion of Everblight","1"," Oracles of Annihilation","Fyanna 2","Legion Army - 75 / 75 points\n[Theme] Oracles of Annihilation\n\n(Fyanna 2) Fyanna, Torment of Everblight [+28]\n - Angelius [17]\n - Angelius [17]\n - Naga Nightlurker [8]\n - Nephilim Bloodseer [8]\n - Neraph [12]\n - Seraph [14]\nBlighted Nyss Shepherd [1]\nBlighted Nyss Shepherd [1]\nBlighted Nyss Shepherd [1]\nBlighted Nyss Sorceress & Hellion [0(6)]\nBlighted Nyss Sorceress & Hellion [0(6)]\nSpell Martyr [1]\nSpell Martyr [1]\nThe Forsaken [4]\nBlackfrost Shard [9]\nBlighted Nyss Hex Hunters (min) [9]\n - Bayal, Hound of Everblight [0(6)]\n"
"Gerard O'Brien","Northern Ireland","Legion of Everblight","1"," Children of the Dragon","Thagrosh 1","Legion Army - 75 / 75 points\n[Theme] Children of the Dragon\n\n(Thagrosh 1) Thagrosh, Prophet of Everblight [+28]\n - Azrael [21]\n - Harrier [3]\n - Nephilim Protector [10]\n - Typhon [24]\n - Zuriel [18]\n - Succubus [4]\nBlighted Nyss Shepherd [1]\nBlighted Nyss Shepherd [1]\nBlighted Nyss Sorceress & Hellion [6]\nBlighted Nyss Warlord [0(5)]\nBlighted Nyss Warlord [0(5)]\nBlighted Nyss Swordsmen (max) [15]\n - Blighted Nyss Swordsman Abbot & Champion [0(6)]\n"
"Tomek Dobros","Northern Ireland","Mercenaries","1"," Hammer Strike","Ossrum 1","Mercenary Army - 72 / 75 points\n[Theme] Hammer Strike\n\n(Ossrum 1) General Ossrum [+28]\n - Ghordson Driller [10]\n - Ghordson Driller [10]\n - Grundback Gunner [6]\n - Grundback Gunner [6]\n - Grundback Gunner [6]\nThor Steinhammer [4]\n - Ghordson Avalancher [17]\nHorgenhold Artillery Corps [0(6)]\nHorgenhold Artillery Corps [0(6)]\nHorgenhold Forge Guard (max) [16]\nTactical Arcanist Corps [7]\nHammerfall Siege Crawler [18]\n"
"Tomek Dobros","Northern Ireland","Mercenaries","0",,"Magnus 2","Mercenary Army - 74 / 75 points\n\n(Magnus 2) Magnus the Warlord [+28]\n - Freebooter [9]\n - Mangler [15]\n - Nomad [11]\n - Nomad [11]\n - Renegade [10]\n - Vanguard [11]\n - Sylys Wyshnalyrr, The Seeker [4]\nGobber Tinker [2]\nLanyssa Ryssyl, Nyss Sorceress [4]\nRagman [4]\nThor Steinhammer [4]\n - Ghordson Avalancher [17]\n"
"Jarle Svendsrud","Norway Hugin","Cygnar","1"," Heavy Metal","Brisbane 1","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n!!! Your army contains a pre-release entry.\n\n(Brisbane 1) Major Markus ""Siege"" Brisbane [+28]\n - Stormwall [39]\n - Triumph [18]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Firefly [8]\nLieutenant Allison Jakes [0(4)]\n - Thunderhead [20]\nStorm Strider [18]\n"
"Jarle Svendsrud","Norway Hugin","Cygnar","1"," Heavy Metal","Haley 2","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n(Haley 2) Major Victoria Haley [+25]\n - Firefly [8]\n - Stormwall [39]\n - Thorn [13]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Firefly [8]\nLieutenant Allison Jakes [0(4)]\n - Reliant [14]\nStorm Strider [18]\n"
"Nicholas Lohrmann","Norway Hugin","Cryx","1"," Dark Host","Goreshade 2","Cryx Army - 75 / 75 points\n[Theme] Dark Host\n\n(Goreshade 2) Goreshade the Cursed [+28]\n - Deathripper [6]\n - Deathripper [6]\n - Stalker [8]\n - Stalker [8]\nBane Lord Tartarus [0(6)]\nScrap Thrall [0(2)]\nScrap Thrall [2]\nScrap Thrall [2]\nBane Riders (max) [20]\nBane Riders (max) [20]\nBane Warriors (max) [16]\n - Bane Warrior Officer & Standard [0(5)]\nWraith Engine [15]\n"
"Nicholas Lohrmann","Norway Hugin","Cryx","1"," The Ghost Fleet","Deneghra 1","Cryx Army - 75 / 75 points\n[Theme] The Ghost Fleet\n\n(Deneghra 1) Warwitch Deneghra [+28]\n - Deathripper [6]\n - Deathripper [6]\n - Stalker [8]\n - Stalker [8]\nCaptain Rengrave [0(5)]\nHellslinger Phantom [0(7)]\nPistol Wraith [0(5)]\nBlackbane's Ghost Raiders (max) [17]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (2) [4]\nWraith Engine [15]\n"
"Martin Røhme","Norway Hugin","Legion of Everblight","1"," Oracles of Annihilation","Fyanna 2","Legion Army - 75 / 75 points\n[Theme] Oracles of Annihilation\n\n(Fyanna 2) Fyanna, Torment of Everblight [+28]\n - Angelius [17]\n - Angelius [17]\n - Naga Nightlurker [8]\n - Nephilim Bloodseer [8]\n - Neraph [12]\n - Neraph [12]\n - Neraph [12]\n - Seraph [14]\nBlighted Nyss Shepherd [1]\nBlighted Nyss Shepherd [1]\nBlighted Nyss Sorceress & Hellion [0(6)]\nBlighted Nyss Sorceress & Hellion [0(6)]\nSpell Martyr [1]\nThe Forsaken [0(4)]\nThe Forsaken [0(4)]\n"
"Martin Røhme","Norway Hugin","Legion of Everblight","1"," Oracles of Annihilation","Absylonia 2","Legion Army - 75 / 75 points\n[Theme] Oracles of Annihilation\n\n(Absylonia 2) Absylonia, Daughter of Everblight [+28]\n - Carnivean [19]\n - Carnivean [19]\n - Carnivean [19]\n - Proteus [19]\n - Raek [8]\n - Seraph [14]\n - Shredder [4]\n - Succubus [0(4)]\nBlighted Nyss Sorceress & Hellion [0(6)]\nSpell Martyr [1]\nThe Forsaken [0(4)]\nThe Forsaken [0(4)]\n"
"Hans Kjenes","Norway Hugin","Skorne","1"," Imperial Warhost","Xerxis 2","Skorne Army - 74 / 75 points\n[Theme] Imperial Warhost\n\n(Xerxis 2) Xerxis, Fury of Halaak [+28]\n - Basilisk Drake [8]\n - Basilisk Drake [8]\n - Basilisk Drake [8]\n - Basilisk Drake [8]\n - Basilisk Drake [8]\n - Basilisk Drake [8]\n - Basilisk Drake [8]\n - Basilisk Krea [0(7)]\n - Basilisk Krea [0(7)]\n - Basilisk Krea [0(7)]\nPaingiver Beast Handlers (min) [5]\nPaingiver Beast Handlers (max) [7]\nSiege Animantarax [17]\nSiege Animantarax [17]\n"
"Hans Kjenes","Norway Hugin","Skorne","0",,"Makeda 2","Skorne Army - 75 / 75 points\n\n(Makeda 2) Supreme Archdomina Makeda [+27]\n - Despoiler [19]\n - Molik Karn [19]\nMortitheurge Willbreaker [4]\nMortitheurge Willbreaker [4]\nTyrant Rhadeim [9]\nPaingiver Beast Handlers (min) [5]\nPraetorian Ferox (max) [20]\nPraetorian Ferox (max) [20]\nSwamp Gobbers Bellows Crew [2]\n"
"Tom Kenneth Solli","Norway Hugin","Cryx","1"," The Ghost Fleet","Asphyxious 1","Cryx Army - 75 / 75 points\n[Theme] The Ghost Fleet\n\n(Asphyxious 1) Iron Lich Asphyxious [+28]\n - Deathripper [6]\n - Deathripper [6]\n - Stalker [8]\n - Stalker [8]\nCaptain Rengrave [0(5)]\nHellslinger Phantom [0(7)]\nPistol Wraith [0(5)]\nBlackbane's Ghost Raiders (max) [17]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (2) [4]\nWraith Engine [15]\n"
"Tom Kenneth Solli","Norway Hugin","Cryx","1"," Dark Host","Coven 1","Cryx Army - 75 / 75 points\n[Theme] Dark Host\n\n(Coven 1) The Witch Coven of Garlghast [+26]\n - Deathripper [6]\n - Deathripper [6]\n - Scavenger [7]\n - Scavenger [7]\nBane Lord Tartarus [0(6)]\nBane Riders (max) [20]\nBane Riders (max) [20]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nWraith Engine [15]\n"
"Sverre Reikvam","Norway Munin","Cryx","1"," Dark Host","Coven 1","Cryx Army - 75 / 75 points\n[Theme] Dark Host\n\n(Coven 1) The Witch Coven of Garlghast [+26]\n - Deathripper [6]\n - Deathripper [6]\n - Desecrator [14]\nBane Lord Tartarus [0(6)]\nBane Riders (max) [20]\nBane Riders (max) [20]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nWraith Engine [15]\n"
"Sverre Reikvam","Norway Munin","Cryx","1"," Dark Host","Asphyxious 1","Cryx Army - 75 / 75 points\n[Theme] Dark Host\n\n(Asphyxious 1) Iron Lich Asphyxious [+28]\n - Deathripper [6]\n - Nightwretch [7]\n - Stalker [8]\n - Stalker [8]\nBane Lord Tartarus [0(6)]\nDarragh Wrathe [9]\nBane Riders (min) [12]\nBane Riders (min) [12]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nBane Warriors (max) [16]\n - Bane Warrior Officer & Standard [0(5)]\nWraith Engine [15]\n"
"Jonas G. Brand","Norway Munin","Cryx","1"," Dark Host","Goreshade 2","Cryx Army - 75 / 75 points\n[Theme] Dark Host\n\n(Goreshade 2) Goreshade the Cursed [+28]\n - Deathripper [6]\n - Deathripper [6]\n - Stalker [8]\n - Stalker [8]\nBane Lord Tartarus [0(6)]\nScrap Thrall [0(2)]\nScrap Thrall [2]\nScrap Thrall [2]\nBane Riders (max) [20]\nBane Riders (max) [20]\nBane Warriors (max) [16]\n - Bane Warrior Officer & Standard [0(5)]\nWraith Engine [15]\n"
"Jonas G. Brand","Norway Munin","Cryx","1"," The Ghost Fleet","Deneghra 1","Cryx Army - 75 / 75 points\n[Theme] The Ghost Fleet\n\n(Deneghra 1) Warwitch Deneghra [+28]\n - Deathripper [6]\n - Deathripper [6]\n - Stalker [8]\n - Stalker [8]\nCaptain Rengrave [0(5)]\nPistol Wraith [0(5)]\nPistol Wraith [0(5)]\nBlackbane's Ghost Raiders (max) [17]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (2) [4]\nWraith Engine [15]\n"
"Christian Brubakken","Norway Munin","Protectorate of Menoth","1"," Guardians of the Temple","Thyra 1","Protectorate Army - 75 / 75 points\n[Theme] Guardians of the Temple\n\n(Thyra 1) Thyra, Flame of Sorrow [+29]\n - Blood of Martyrs [16]\n - Sanctifier [14]\nNicia, Tear of Vengeance [0(5)]\nPyrrhus, Flameguard Hero [0(5)]\nVassal of Menoth [3]\nWrack [1]\nWrack [1]\nChoir of Menoth (min) [4]\nDaughters of the Flame [10]\nDaughters of the Flame [10]\nFlame Bringers (max) [17]\nFlame Bringers (max) [17]\nTemple Flameguard (max) [11]\n - Temple Flameguard Officer & Standard [0(4)]\n"
"Christian Brubakken","Norway Munin","Protectorate of Menoth","1"," The Creator's Might","Amon 1","Protectorate Army - 75 / 75 points\n[Theme] The Creator's Might\n\n(Amon 1) High Allegiant Amon Ad-Raza [+29]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Vigilant [9]\n - Hierophant [0(3)]\nThe Covenant of Menoth [0(4)]\nVassal of Menoth [0(3)]\nWrack [1]\nChoir of Menoth (min) [4]\nChoir of Menoth (max) [6]\n"
"Kuba Grzegorzek","Norway Munin","Protectorate of Menoth","1"," The Creator's Might","Kreoss 1","Protectorate Army - 75 / 75 points\n[Theme] The Creator's Might\n\n(Kreoss 1) High Exemplar Kreoss [+29]\n - Reckoner [16]\n - Reckoner [16]\n - Redeemer [11]\n - Redeemer [11]\n - Redeemer [11]\nInitiate Tristan Durant [0(4)]\n - Redeemer [11]\n - Redeemer [11]\nVassal of Menoth [0(3)]\nVassal of Menoth [0(3)]\nChoir of Menoth (min) [4]\nChoir of Menoth (min) [4]\nVisgoth Juviah Rhoven & Honor Guard [9]\n"
"Kuba Grzegorzek","Norway Munin","Protectorate of Menoth","1"," Exemplar Interdiction","Vindictus 1","Protectorate Army - 75 / 75 points\n[Theme] Exemplar Interdiction\n\n(Vindictus 1) Vice Scrutator Vindictus [+29]\n - Dervish [7]\n - Devout [9]\n - Sanctifier [14]\nExemplar Errant Seneschal [0(4)]\nHigh Exemplar Gravus [9]\nWrack [1]\nChoir of Menoth (min) [4]\nExemplar Errants (min) [10]\nExemplar Errants (max) [16]\nExemplar Errants (max) [16]\nKnights Exemplar [9]\n - Knights Exemplar Officer [0(5)]\nKnights Exemplar [9]\n - Knights Exemplar Officer [0(5)]\n"
"Tor Egil Fusdahl","Norway Munin","Cygnar","1"," Heavy Metal","Haley 2","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n(Haley 2) Major Victoria Haley [+25]\n - Firefly [8]\n - Stormclad [18]\n - Stormwall [39]\n - Thorn [13]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Charger [9]\nLieutenant Allison Jakes [0(4)]\n - Cyclone [13]\n"
"Tor Egil Fusdahl","Norway Munin","Cygnar","1"," Storm Division","Nemo 3","Cygnar Army - 75 / 75 points\n[Theme] Storm Division\n\n(Nemo 3) Artificer General Nemo [+25]\n - Firefly [8]\n - Thunderhead [20]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [4]\n - Firefly [8]\nStormsmith Stormcaller (3) [0(5)]\nStormsmith Stormcaller (3) [0(5)]\nStorm Lances (min) [12]\nStorm Lances (min) [12]\nStorm Strider [18]\nStorm Strider [18]\n"
"Karol Sosnowski (C)","Poland Knights","Grymkin","1"," Dark Menagerie","Child 1","Grymkin Army - 75 / 75 points\n[Theme] Dark Menagerie\n\n(Child 1) The Child [+29]\n - Cage Rager [14]\n - Cage Rager [14]\n - Crabbit [0(n/a)]\n - Crabbit [0(n/a)]\n - Crabbits (2) [7]\n - Skin & Moans [15]\n - Skin & Moans [15]\n - Skin & Moans [15]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nLady Karianna Rose [4]\nDread Rots (min) [7]\nDeath Knell [13]\n"
"Karol Sosnowski (C)","Poland Knights","Grymkin","0",,"Wanderer 1","Grymkin Army - 75 / 75 points\n\n(Wanderer 1) The Wanderer [+28]\n - Cage Rager [14]\n - Skin & Moans [15]\n - Skin & Moans [15]\nCask Imp (2) [1]\nCask Imp (2) [1]\nCask Imp (2) [1]\nGlimmer Imp [4]\nGremlin Swarm [3]\nLady Karianna Rose [4]\nLord Longfellow [6]\nHollowmen (max) [13]\nHollowmen (max) [13]\nDeath Knell [13]\n"
"Kamil Nowak","Poland Knights","Cygnar","1"," Heavy Metal","Caine 3","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n(Caine 3) Caine's Hellslingers [+20]\n - Ace [12]\n - Charger [9]\n - Charger [9]\n - Charger [9]\n - Charger [9]\n - Stormwall [39]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Firefly [8]\n"
"Kamil Nowak","Poland Knights","Cygnar","1"," Heavy Metal","Haley 2","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n(Haley 2) Major Victoria Haley [+25]\n - Charger [9]\n - Stormwall [39]\n - Thorn [13]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Charger [9]\nLieutenant Allison Jakes [0(4)]\n - Ironclad [12]\nStorm Strider [18]\n"
